,user_id,user_extroversion,user_neuroticism,user_agreeableness,user_conscientiousness,user_openess,movielens_Id,imdb_Id,movie_extroversion,movie_neuroticism,movie_agreeableness,movie_conscientiousness,movie_openess,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science_fiction,thriller,tv_movie,war,western,none,movie_rating
0,8e7cebf9a234c064b75016249f2ac65e,6.5,4.0,2.0,2.5,5.0,115713,tt0470752,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.61192169162
1,8e7cebf9a234c064b75016249f2ac65e,6.5,4.0,2.0,2.5,5.0,120138,tt2338151,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24481714323
2,77c7d756a093150d4377720abeaeef76,4.0,1.0,4.0,5.5,7.0,94959,tt1748122,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.20728005022
3,77c7d756a093150d4377720abeaeef76,4.0,1.0,4.0,5.5,7.0,1247,tt0061722,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26653971573
4,77c7d756a093150d4377720abeaeef76,4.0,1.0,4.0,5.5,7.0,953,tt0038650,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4.2113217973
5,77c7d756a093150d4377720abeaeef76,4.0,1.0,4.0,5.5,7.0,1234,tt0070735,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09035821385
6,77c7d756a093150d4377720abeaeef76,4.0,1.0,4.0,5.5,7.0,5291,tt0042876,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.20242445998
7,77c7d756a093150d4377720abeaeef76,4.0,1.0,4.0,5.5,7.0,56782,tt0469494,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01959875273
8,77c7d756a093150d4377720abeaeef76,4.0,1.0,4.0,5.5,7.0,5618,tt0245429,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.96395293757
9,b7e8a92987a530cc368719a0e60e26a3,2.5,2.5,3.0,2.0,4.0,101895,tt0453562,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02936033261
10,b7e8a92987a530cc368719a0e60e26a3,2.5,2.5,3.0,2.0,4.0,5971,tt0096283,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.66076923024
11,b7e8a92987a530cc368719a0e60e26a3,2.5,2.5,3.0,2.0,4.0,926,tt0042192,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70686444134
12,b7e8a92987a530cc368719a0e60e26a3,2.5,2.5,3.0,2.0,4.0,1204,tt0056172,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4.64519076591
13,b7e8a92987a530cc368719a0e60e26a3,2.5,2.5,3.0,2.0,4.0,2288,tt0084787,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4.82321169499
14,b7e8a92987a530cc368719a0e60e26a3,2.5,2.5,3.0,2.0,4.0,3307,tt0021749,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.67675577401
15,b7e8a92987a530cc368719a0e60e26a3,2.5,2.5,3.0,2.0,4.0,1212,tt0041959,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.74498975327
16,92561f21446e017dd6b68b94b23ad5b7,4.0,3.0,5.5,4.5,5.5,2905,tt0056443,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52637147451
